shipment_id,shipper_id,shipper_name,shipper_address,shipper_city,shipper_state,shipper_zip,shipper_latitude,shipper_longitude,waste_description,waste_epa_codes,weight,manifest_file
16,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE PROPANE,D001,61.236,group0/waste-manifests-page16.pdf
17,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE PROPANE,D001,72.576,group0/waste-manifests-page17.pdf
18,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE PROPANE,D001,81.648,group0/waste-manifests-page18.pdf
19,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE PROPANE,D001,147.42,group0/waste-manifests-page19.pdf
20,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE PROPANE,D001,57.1536,group0/waste-manifests-page20.pdf
21,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE PROPANE,D001,46.7208,group0/waste-manifests-page21.pdf
22,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE PROPANE,D001,22.2264,group0/waste-manifests-page22.pdf
23,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE PROPANE,D001,13.608,group0/waste-manifests-page23.pdf
24,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,PEPPER SPRAY,D001,390.08955,group0/waste-manifests-page24.pdf
25,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,PAINT,D001,11602.89615,group0/waste-manifests-page25.pdf
26,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,PROPANE,D001,117.93405,group0/waste-manifests-page26.pdf
27,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,EPOXY RESINS,D001,1133.98125,group0/waste-manifests-page27.pdf
28,CAD008252405,PACIFIC RESOURCE RECOVERY,8150 EAST PICO BOULEVARD,LOS ANGELES,CA,90023,34.01801,-118.201009,TOLUENE AND XYLENE,D001,288591.66,group0/waste-manifests-page28.pdf
29,CAD008252405,PACIFIC RESOURCE RECOVERY,8150 EAST PICO BOULEVARD,LOS ANGELES,CA,90023,34.01801,-118.201009,WASTE AEROSOLS,D001,20456.9064,group0/waste-manifests-page29.pdf
30,CAD008252405,PACIFIC RESOURCE RECOVERY,8150 EAST PICO BOULEVARD,LOS ANGELES,CA,90023,34.01801,-118.201009,PAINT,D001,140068.5048,group0/waste-manifests-page30.pdf
31,CAD008252405,PACIFIC RESOURCE RECOVERY,8150 EAST PICO BOULEVARD,LOS ANGELES,CA,90023,34.01801,-118.201009,"WASTE FLAMMABLE LIQUID, CORROSIVE",D001,403.704,group0/waste-manifests-page31.pdf
32,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,POTASSIUM PERMANGANATE,D001,108.864,group0/waste-manifests-page32.pdf
33,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,SODIUM NITRATE,D001,927.612,group0/waste-manifests-page33.pdf
34,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,NITRIC ACID,D001,508.032,group0/waste-manifests-page34.pdf
35,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,SODIUM NITRITE SOLUTION,D001,567.9072,group0/waste-manifests-page35.pdf
36,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,HYDROGEN PEROXIDE,D001,181.44,group0/waste-manifests-page36.pdf
37,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,MAGNESIUM PERCHLORATE,D001,181.44,group0/waste-manifests-page37.pdf
38,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,WATER TREATMENT CHEMICAL,D001,68.04,group0/waste-manifests-page38.pdf
39,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,POTASSIUM PERMANGANATE SOLUTION,D001,90.72,group0/waste-manifests-page39.pdf
40,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,POTASSIUM NITRATE,D001,281.6856,group0/waste-manifests-page40.pdf
41,CAD980884183,GENERAL ENVIRONMENTAL MANAGEMENT,11855 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95742,38.592474,-121.225637,AEROSOLS,D001,715.7808,group0/waste-manifests-page41.pdf
42,CAD980884183,GENERAL ENVIRONMENTAL MANAGEMENT,11855 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95742,38.592474,-121.225637,PAINT RELATED MATERIAL,D001,934.416,group0/waste-manifests-page42.pdf
43,CAD980884183,GENERAL ENVIRONMENTAL MANAGEMENT,11855 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95742,38.592474,-121.225637,PAINT RELATED MATERIAL,D001,3230.9928,group0/waste-manifests-page43.pdf
44,CAD980884183,GENERAL ENVIRONMENTAL MANAGEMENT,11855 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95742,38.592474,-121.225637,"FLAMMABLE SOLIDS, SOLVENT CONTAMINATED RAGS",D001,1955.9232,group0/waste-manifests-page44.pdf
45,CAD980884183,GENERAL ENVIRONMENTAL MANAGEMENT,11855 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95742,38.592474,-121.225637,AEROSOLS,D001,843.696,group0/waste-manifests-page45.pdf
46,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"AMMONIA, ANHYDROUS",D001,2.7216,group0/waste-manifests-page46.pdf
47,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,CARBON DIOXIDE,D001,9.072,group0/waste-manifests-page47.pdf
48,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,CARBON DIOXIDE,D001,63.504,group0/waste-manifests-page48.pdf
49,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"FIRE EXTINGUISHERS, HALON",D001,5.8968,group0/waste-manifests-page49.pdf
50,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"HYDROGEN CHLORIDE, ANHYDROUS",D001,2.268,group0/waste-manifests-page50.pdf
51,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, NITROGEN, OXYGEN",D001,4.536,group0/waste-manifests-page51.pdf
52,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, NITROGEN, CARBON  DIOXIDE",D001,13.608,group0/waste-manifests-page52.pdf
53,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, ARGON",D001,6.804,group0/waste-manifests-page53.pdf
54,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, TRICHLOROFLUOROMETHANE",D001,27.216,group0/waste-manifests-page54.pdf
55,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, METHANE, AIR",D001,3.1752,group0/waste-manifests-page55.pdf
56,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, CARBON MONOXIDE, AIR",D001,4.0824,group0/waste-manifests-page56.pdf
57,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, ISOBUTANE, AIR",D001,1.3608,group0/waste-manifests-page57.pdf
58,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, HYDROGEN, AIR",D001,0.4536,group0/waste-manifests-page58.pdf
59,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, NITROGEN",D001,1.8144,group0/waste-manifests-page59.pdf
60,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, CHLORODIFLUOROMETHANE",D001,22.68,group0/waste-manifests-page60.pdf
61,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, XENON",D001,3.1752,group0/waste-manifests-page61.pdf
62,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS,  HYDROGEN SULFIDE NITROGEN",D001,3.6288,group0/waste-manifests-page62.pdf
63,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, CARBON MONOXIDE, AIR",D001,11.7936,group0/waste-manifests-page63.pdf
64,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"WASTE COMPRESSED GAS, TRICHLOROMONOFLYOROMETHANE",D001,9.072,group0/waste-manifests-page64.pdf
65,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS,  HYDROGEN SULFIDE NITROGEN",D001,4.536,group0/waste-manifests-page65.pdf
66,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, DICHLOROFLUOROMETHANE",D001,4.536,group0/waste-manifests-page66.pdf
67,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, POLYMERIC ISOCYANATE WITH NITROGEN PROPELLANT",D001,45.36,group0/waste-manifests-page67.pdf
68,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, CHLOROTRIFLUOROMETHANE",D001,13.608,group0/waste-manifests-page68.pdf
69,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, TRIFLUOROMETHANE, HEXAFLUOROETHANE",D001,18.144,group0/waste-manifests-page69.pdf
70,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, NITROGEN, POLYOL AMINE FLUOROCARBONS",D001,7.7112,group0/waste-manifests-page70.pdf
71,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, POLYMERIC ISOCYANATE WITH NITROGEN PROPELLANT",D001,52.164,group0/waste-manifests-page71.pdf
72,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,SODIUM AND POTASSIUM HYDROXIDES,D001,1941.3759,group0/waste-manifests-page72.pdf
73,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,ISOCYANATE SOLUTIONS,D001,1623.86115,group0/waste-manifests-page73.pdf
74,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,TOXIC LIQUIDS CONTAINING PHENOLS,D001,190.50885,group0/waste-manifests-page74.pdf
75,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,EXPIRED PHARMACEUTICALS,D001,399.1614,group0/waste-manifests-page75.pdf
76,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,CONTAINS CYANIDE,D001,63.50295,group0/waste-manifests-page76.pdf
77,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,WATER AND LATEX PAINT,D001,190.50885,group0/waste-manifests-page77.pdf
78,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,ISOPHORONEDIAMINE,D001,381.0177,group0/waste-manifests-page78.pdf
79,CAD028409019,"CROSBY & OVERTON, INC.",1610 WEST 17TH STREET,LONG BEACH,CA,90813,33.788158,-118.214147,HYDROCARBON SLUDGE,D001,943.4724,group0/waste-manifests-page79.pdf
80,ME7170022019,PORTSMOUTH NAVAL SHIPYARD,CODE 106.32 BLDG 357,KITTERY,ME,3904,43.090835,-70.736914,"CATALYST, CARBON MONOXIDE",D001,126.1008,group0/waste-manifests-page80.pdf
81,ME7170022019,PORTSMOUTH NAVAL SHIPYARD,CODE 106.32 BLDG 357,KITTERY,ME,3904,43.090835,-70.736914,CALCIUM HYPOCHLORITE,D001,4.536,group0/waste-manifests-page81.pdf
82,WID003967148,ONYX ENVIRONMENTAL SERVICES,W124 N9451 BOUNDARY ROAD,MENOMONEE FALLS,WI,53051,43.159699,-88.064289,OXIDIZING SOLIDS,D001,2838.6288,group0/waste-manifests-page82.pdf
83,WID003967148,ONYX ENVIRONMENTAL SERVICES,W124 N9451 BOUNDARY ROAD,MENOMONEE FALLS,WI,53051,43.159699,-88.064289,OXIDIZING SOLIDS,D001,1,group0/waste-manifests-page83.pdf
84,WID003967148,ONYX ENVIRONMENTAL SERVICES,W124 N9451 BOUNDARY ROAD,MENOMONEE FALLS,WI,53051,43.159699,-88.064289,OXIDIZING SOLIDS,D001,1,group0/waste-manifests-page84.pdf
85,WID003967148,ONYX ENVIRONMENTAL SERVICES,W124 N9451 BOUNDARY ROAD,MENOMONEE FALLS,WI,53051,43.159699,-88.064289,OXIDIZING LIQUIDS,D001,1,group0/waste-manifests-page85.pdf
86,WID003967148,ONYX ENVIRONMENTAL SERVICES,W124 N9451 BOUNDARY ROAD,MENOMONEE FALLS,WI,53051,43.159699,-88.064289,"ETHYL ALCOHOL, PENTACHLOROPHENOL",D001,1,group0/waste-manifests-page86.pdf
87,WID988580056,"BADGER DISPOSAL OF WI., INC.",5611 WEST HEMLOCK STREET,MILWAUKEE,WI,53223,43.16313,-87.987949,OXIDIZER SOLID,D001,599.6592,group0/waste-manifests-page87.pdf
88,WID988580056,"BADGER DISPOSAL OF WI., INC.",5611 WEST HEMLOCK STREET,MILWAUKEE,WI,53223,43.16313,-87.987949,OXIDIZER LIQUIDS,D001,164.6568,group0/waste-manifests-page88.pdf
89,ME5000001313,FAIRCHILD SEMICONDUCTOR CORPORATION,333 WESTERN AVENUE,SOUTH PORTLAND,ME,4106,43.640639,-70.32698,WASTE ORGANIC SOLVENTS FOR RECYCLE,D001,1,group0/waste-manifests-page89.pdf
90,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,SCRUBBER WASTE CAUSTIC,D001,181.44,group0/waste-manifests-page90.pdf
91,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,VIRCHEM970,D001,158.76,group0/waste-manifests-page91.pdf
92,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,DEARBORN547,D001,159.2136,group0/waste-manifests-page92.pdf
93,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,WATER W/LEAD,D001,476.28,group0/waste-manifests-page93.pdf
94,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,DEBRIS/FILTERS,D001,680.4,group0/waste-manifests-page94.pdf
95,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,HCL ACID WASTE,D001,136.08,group0/waste-manifests-page95.pdf
96,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,INORGANIC ACID,D001,181.44,group0/waste-manifests-page96.pdf
97,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,WASTE ALODINE,D001,362.88,group0/waste-manifests-page97.pdf
98,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,PB2,D001,181.44,group0/waste-manifests-page98.pdf
99,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,CRETEX,D001,468.1152,group0/waste-manifests-page99.pdf
100,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,OXIDIZER,D001,567,group0/waste-manifests-page100.pdf
101,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,SODIUM SULFATE,D001,181.44,group0/waste-manifests-page101.pdf
102,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,SULFURIC ACID SOLUTION,D001,362.88,group0/waste-manifests-page102.pdf
103,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,WASTE MERCURY LAB PACK,D001,138.348,group0/waste-manifests-page103.pdf
104,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,HYDROCHLORIC ACID,D001,430.92,group0/waste-manifests-page104.pdf
105,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,MURIATIC ACID SOLUTION,D001,256.284,group0/waste-manifests-page105.pdf
106,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,MERCURY TEST WASTE,D001,45.36,group0/waste-manifests-page106.pdf
107,NCD982170292,"ENVIROCHEM, INC.",1005 INVESTMENT BOULEVARD,APEX,NC,27502,35.725243,-78.838466,No description available,D001,2903.04,group0/waste-manifests-page107.pdf
108,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,HYDROBROMIC ACID,D001,181.44,group0/waste-manifests-page108.pdf
109,NCD982170292,"ENVIROCHEM, INC.",1005 INVESTMENT BOULEVARD,APEX,NC,27502,35.725243,-78.838466,No description available,D001,1,group0/waste-manifests-page109.pdf
110,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,HYDROFLUORIC ACID,D001,181.44,group0/waste-manifests-page110.pdf
111,NCD982170292,"ENVIROCHEM, INC.",1005 INVESTMENT BOULEVARD,APEX,NC,27502,35.725243,-78.838466,No description available,D001,1,group0/waste-manifests-page111.pdf
112,NCD982170292,"ENVIROCHEM, INC.",1005 INVESTMENT BOULEVARD,APEX,NC,27502,35.725243,-78.838466,No description available,D001,3628.8,group0/waste-manifests-page112.pdf
113,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,POTASSIUM CYANIDE,D001,181.44,group0/waste-manifests-page113.pdf
114,NCD982170292,"ENVIROCHEM, INC.",1005 INVESTMENT BOULEVARD,APEX,NC,27502,35.725243,-78.838466,No description available,D001,4354.56,group0/waste-manifests-page114.pdf
115,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,ZINC PHOSPHATE 8685,D001,181.44,group0/waste-manifests-page115.pdf
116,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,CYANIDE PLATING DEBRIS,D001,725.3064,group0/waste-manifests-page116.pdf
117,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,CHLORITE SOLUTION <25%,D001,181.44,group0/waste-manifests-page117.pdf
118,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,WASTE FERRIC CHLORIDE,D001,362.88,group0/waste-manifests-page118.pdf
119,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,MERCURY COD VIALS,D001,272.16,group0/waste-manifests-page119.pdf
120,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,HYPOCHLORITE SOLUTION,D001,8164.8,group0/waste-manifests-page120.pdf
121,OHD083377010,ENVIRONMENTAL ENTERPRISES INC,4650 SPRING GROVE AVENUE,CINCINNATI,OH,45232,39.16472,-84.517884,CARBON MONOXIDE,D001,14.9688,group0/waste-manifests-page121.pdf
122,OHD083377010,ENVIRONMENTAL ENTERPRISES INC,4650 SPRING GROVE AVENUE,CINCINNATI,OH,45232,39.16472,-84.517884,ISOBUTYLENE,D001,181.44,group0/waste-manifests-page122.pdf
123,OHD083377010,ENVIRONMENTAL ENTERPRISES INC,4650 SPRING GROVE AVENUE,CINCINNATI,OH,45232,39.16472,-84.517884,HYDROGEN,D001,14.9688,group0/waste-manifests-page123.pdf
124,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,CHLOROMETHYLISOTHIAXION SOLUTION,D001,68.04,group0/waste-manifests-page124.pdf
125,NCD980842132,ECOFLO INC,2750 PATTERSON STREET,GREENSBORO,NC,27407,36.05813,-79.837126,CUSTOMER MASONRY CLEANER,D001,36.288,group0/waste-manifests-page125.pdf
